Institution,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,,,,,,,
CMU,21431.00,21579.00,21356.00,21142.00,21529.00,21888.00,22522.00,22510.00,21694.00,20891.00,21278.00,20804.00,20203.00,19546.00,18706.00,17104.00,15583.00,13993.00,13352.00,13200.00,12931.00,,,,,,,,
EMU,18947.30,18775.38,18462.00,17995.46,17588.37,18354.69,18717.81,18434.06,18358.14,18160.12,17493.41,17225.74,16725.32,16113.24,15162.73,14132.54,13078.97,12198.81,11279.71,10958.00,10754.81,,,,,,,,
Ferris,10548.00,11063.00,11090.00,11393.00,11666.00,11791.00,12076.00,12217.00,12206.00,12141.00,12134.00,12127.00,11637.00,11251.00,10760.00,10196.00,9295.00,8608.00,8482.00,8273.00,8404.00,,,,,,,,
GVSU,19400.00,19985.90,20732.00,20951.00,21617.00,22273.00,22407.00,22347.00,22270.60,22181.20,22446.20,22705.10,22871.10,22490.10,22442.10,21992.00,21176.90,20341.40,19757.20,20432.00,20306.80,,,,,,,,
LSSU,2591.00,2561.00,2343.00,2344.00,2388.00,2292.00,2396.00,2418.00,2238.00,2174.00,2113.00,1976.00,1930.00,1826.00,1748.87,1622.02,1515.78,1459.57,1354.00,1315.00,1235.00,,,,,,,,
MSU,41836.00,42430.00,42962.00,43289.00,44078.00,44152.00,44039.00,44738.00,45446.00,45959.00,46138.00,46284.00,45947.00,46014.00,46261.00,47923.00,47970.00,47253.00,47509.00,49235.00,50163.00,,,,,,,,
MTU,5931.59,6124.25,6008.18,6255.32,6585.22,6650.05,6582.98,6378.02,6135.42,6473.98,6500.65,6728.34,6650.65,6628.80,6654.38,6571.28,6380.44,6619.09,6621.60,6878.00,6960.06,,,,,,,,
NMU,8424.00,8553.00,8538.00,8428.00,8417.00,8588.00,8606.00,8568.00,8257.00,8031.00,7716.00,7383.00,6891.00,6713.00,6768.00,6816.00,6509.00,6374.00,6149.00,6378.00,6623.00,,,,,,,,
OU,13834.00,14246.00,14633.00,14871.00,15073.00,15867.00,16217.00,16319.00,16699.00,17088.00,17409.00,17841.00,17864.00,17412.00,17349.00,17349.00,16650.00,15229.00,14385.00,14152.00,14302.00,,,,,,,,
SVSU,7648.87,7780.67,7871.47,8004.00,8236.45,8841.17,9030.86,9190.00,9025.00,8824.80,8540.30,8321.32,7894.69,7438.10,7422.28,7233.11,6884.81,6482.28,6198.74,6076.00,6082.16,,,,,,,,
UM A,39311.00,40043.00,40330.91,41091.00,41319.00,42005.00,42232.00,42917.83,43761.56,43832.10,43816.70,43693.01,45735.44,46854.62,47660.50,49263.83,49577.09,51259.55,51847.57,52986.00,53988.39,,,,,,,,
UM D,6227.00,6243.00,6220.22,6286.95,6302.00,6521.00,6595.00,6669.00,6687.00,6648.00,6738.00,6782.01,6904.29,7045.66,7164.04,7152.59,6950.33,6571.22,6473.55,6587.00,6824.05,,,,,,,,
UM F,4941.00,5111.00,5260.00,5503.41,5899.61,6371.59,6693.28,6730.87,6648.97,6769.00,6777.50,6602.60,6346.61,6247.54,6105.92,6084.93,5883.77,5477.58,5217.11,5684.00,6205.19,,,,,,,,
WSU,24953.00,25235.00,25480.00,24682.00,24201.20,25197.00,24798.00,23873.40,23300.90,22643.80,22443.80,22343.70,22510.00,22602.90,22846.62,23200.48,22806.44,21587.30,21096.29,21318.00,21784.14,,,,,,,,
WMU,24006.10,23290.00,22289.40,21995.00,22248.10,21823.50,21990.10,21602.80,20979.60,20593.20,20317.50,19907.10,19508.70,19351.20,19058.90,18463.60,17064.30,15549.00,14687.80,14582.00,14553.60,,,,,,,,
MI avg,16668.66,16868.01,16905.08,16948.74,17143.20,17507.67,17660.20,17660.87,17580.48,17494.01,17457.47,17381.59,17307.92,17168.94,17074.02,17006.96,16488.39,15933.52,15627.37,15870.27,16074.48,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
